char_id,name,normalized_name,gender,Simpson_fam
692,Robot Weasel,robot weasel,u,False
693,Señor Beaver-otti,señor beaver-otti,u,False
694,Robot Animals,robot animals,u,False
695,Fat Cop,fat cop,u,False
696,Falcon Man,falcon man,m,False
697,Sailor,sailor,u,False
698,Sting,sting,m,False
699,Sideshow Mel,sideshow mel,m,False
700,Choir,choir,u,False
701,Souvenir Hawker,souvenir hawker,u,False
702,Station Announcer,station announcer,u,False
703,Old Lady #1,old lady 1,f,False
704,Bret,bret,m,False
705,JIMMY,jimmy,m,False
706,Sportscaster,sportscaster,u,False
707,Coach,coach,u,False
708,Football Announcer #2,football announcer 2,u,False
709,Player,player,u,False
710,Marco,marco,m,False
711,Box,box,u,False
712,Nutty Comedian,nutty comedian,u,False
713,Alien,alien,u,False
714,Duff Announcer,duff announcer,u,False
715,Nick,nick,m,False
716,Nick #2,nick 2,m,False
717,Commercial Guy,commercial guy,m,False
718,Man On Phone,man on phone,m,False
719,Bus Driver,bus driver,u,False
720,Policewoman,policewoman,f,False
721,Different Announcer,different announcer,u,False
722,Chef Rodrigo,chef rodrigo,u,False
723,Gregory,gregory,m,False
724,FABRIZIO,fabrizio,u,False
725,Woman On Tv #1,woman on tv 1,f,False
726,Woman On Tv #2,woman on tv 2,f,False
727,Teenage Boy,teenage boy,m,False
728,CHIF WIGGUM,chif wiggum,m,False
729,Service Manager,service manager,u,False
730,Ted,ted,m,False
731,Sound-alikes,sound-alikes,u,False
732,Mister Amazing,mister amazing,m,False
733,Sparkle,sparkle,f,False
734,Romantic Lover Voice,romantic lover voice,u,False
735,Southern Private,southern private,u,False
736,Charles Boyer,charles boyer,m,False
737,Umpire,umpire,u,False
738,Dispatcher,dispatcher,u,False
739,ARI,ari,m,False
740,Jose Canseco,jose canseco,m,False
741,Mike Scioscia,mike scioscia,m,False
742,Tour Guide,tour guide,m,False
743,Ozzie Smith,ozzie smith,m,False
744,Don Mattingly,don mattingly,m,False
745,Steve Sax,steve sax,m,False
746,Roger Clemens,roger clemens,m,False
747,Wade Boggs,wade boggs,m,False
748,KEN GRIFFEY JR.,ken griffey jr,m,False
749,Darryl Strawberry,darryl strawberry,m,False
750,Hypnotist,hypnotist,m,False
751,ALL THE PLAYERS,all the players,m,False
752,JOSE CONSECO,jose conseco,m,False
753,Ticket Taker,ticket taker,u,False
754,Courier,courier,u,False
756,FORTE,forte,u,False
757,Donna,donna,f,False
758,Tammy,tammy,f,False
759,PRINCIPAL WILLIE,principal willie,m,False
760,Prosecutor,prosecutor,u,False
761,Steve Allen,steve allen,m,False
762,Mr. Montone,mr montone,m,False
763,Former Teacher,former teacher,u,False
764,Teacher #1,teacher 1,u,False
